blockfile,cue_file,target_x,is_valid,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,auto_counter.started,group,auto_counter.stopped,trial.started,cue.started,target.started,mouse.started,cue.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
invalid_conditions.xlsx,cue_right.png,-0.5,invalid,0,0,0,0,0,0,0,2,0.48292880000008154,,0.007262799999807612,B,0.007721500000116066,0.015894399999524467,0.48292880000008154,0.7124155999990762,0.7047588999994332,1.184030200000052,1.233075899999676,[-0.5046296296296297],[0.032407407407407406],[1],[0],[0],[0.519500499998685],['target'],191539,001,2023-10-10_13h08.24.353,posner-auto-counter,2023.2.2,165.04727779230683,2023-10-10 13h08.30.409781 +0100,
invalid_conditions.xlsx,cue_left.png,0.5,invalid,0,0,0,0,0,1,1,1,1.6367131000006339,,,,,1.233611399999063,1.6367131000006339,1.9366384000004473,0.7031834999997955,2.335310799999206,2.3481434999994235,[0.48055555555555557],[0.10555555555555556],[1],[0],[0],[0.4111935999990237],['target'],191539,001,2023-10-10_13h08.24.353,posner-auto-counter,2023.2.2,165.04727779230683,2023-10-10 13h08.30.409781 +0100,
invalid_conditions.xlsx,cue_left.png,0.5,invalid,0,0,0,0,0,2,2,0,2.7595308999989356,,,,,2.3484669999998005,2.7595308999989356,3.0514268999995693,0.7030997000001662,3.462337999999363,3.523731699999189,[0.26944444444444443],[-0.006481481481481481],[1],[0],[0],[0.4720039000003453],['target'],191539,001,2023-10-10_13h08.24.353,posner-auto-counter,2023.2.2,165.04727779230683,2023-10-10 13h08.30.409781 +0100,
invalid_conditions.xlsx,cue_right.png,-0.5,invalid,0,0,0,0,0,3,3,3,3.8884742999998707,,,,,3.5240486999991845,3.8884742999998707,4.2269194000000425,0.7036428999999771,4.589458999998897,4.681046499999866,[-0.475],[-0.003703703703703704],[1],[0],[0],[0.45317040000009],['target'],191539,001,2023-10-10_13h08.24.353,posner-auto-counter,2023.2.2,165.04727779230683,2023-10-10 13h08.30.409781 +0100,
invalid_conditions.xlsx,cue_left.png,0.5,invalid,0,0,0,0,1,0,4,0,5.084226699998908,,,,,4.681386199999906,5.084226699998908,5.3842585000002146,0.7030420999999478,,5.7606959999993705,[0.6],[0.044444444444444446],[1],[0],[0],[0.37615809999988414],['target'],191539,001,2023-10-10_13h08.24.353,posner-auto-counter,2023.2.2,165.04727779230683,2023-10-10 13h08.30.409781 +0100,
invalid_conditions.xlsx,cue_right.png,-0.5,invalid,0,0,0,0,1,1,5,3,6.128169699999489,,,,,5.761030699999537,6.128169699999489,6.462829899999633,0.7019335000004503,6.831270999999106,6.94083529999989,[-0.6898148148148148],[0.05],[1],[0],[0],[0.477765299998282],['target'],191539,001,2023-10-10_13h08.24.353,posner-auto-counter,2023.2.2,165.04727779230683,2023-10-10 13h08.30.409781 +0100,
invalid_conditions.xlsx,cue_right.png,-0.5,invalid,0,0,0,0,1,2,6,2,7.309277099999235,,,,,6.941329899998891,7.309277099999235,7.644380800000363,0.7032509999989998,8.012782300000254,8.10445129999971,[-0.49722222222222223],[-0.037037037037037035],[1],[0],[0],[0.45975019999968936],['target'],191539,001,2023-10-10_13h08.24.353,posner-auto-counter,2023.2.2,165.04727779230683,2023-10-10 13h08.30.409781 +0100,
invalid_conditions.xlsx,cue_left.png,0.5,invalid,0,0,0,0,1,3,7,1,8.511419999998907,,,,,8.104781500000172,8.511419999998907,8.80769859999964,0.7030798999985564,,9.153926499999216,[0.575925925925926],[0.05462962962962963],[1],[0],[0],[0.3459173000010196],['target'],191539,001,2023-10-10_13h08.24.353,posner-auto-counter,2023.2.2,165.04727779230683,2023-10-10 13h08.30.409781 +0100,
invalid_conditions.xlsx,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,191539,001,2023-10-10_13h08.24.353,posner-auto-counter,2023.2.2,165.04727779230683,2023-10-10 13h08.30.409781 +0100,
valid_conditions.xlsx,cue_right.png,0.5,valid,0,1,1,1,0,0,0,2,9.525993199998993,,,,,9.158354699999109,9.525993199998993,9.855921799999123,0.7018956000010803,,10.165818100000251,[0.42407407407407405],[-0.018518518518518517],[1],[0],[0],[0.3094839999994292],['target'],191539,001,2023-10-10_13h08.24.353,posner-auto-counter,2023.2.2,165.04727779230683,2023-10-10 13h08.30.409781 +0100,
